radio,mcc,mnc,operator,lac,cellid,lat,lon,range,averageSignal,created,sample_data,network_type,country,region_type,lat_normalized,lon_normalized,range_normalized,averageSignal_normalized
GSM,262,1,Telekom,4363,13724,48.15221725616709,11.553599120558664,1096,-63,2025-04-06 23:27:29,True,2G,Germany,Munich City Center,0.5089542809822919,0.502512742016984,0.03218790778599391,0.7586206896551724
GSM,262,2,Vodafone,4617,24089,48.141189259757034,11.586348013216847,1441,-65,2024-11-21 22:03:35,True,2G,Germany,Munich City Center,0.47207734080610786,0.5687232841318232,0.06970421922575033,0.6896551724137931
UMTS,262,1,Telekom,2959,31692,48.15885478810161,11.558034832254961,1612,-64,2024-12-17 09:09:39,True,3G,Germany,Munich City Center,0.5311497786017344,0.5114807055796724,0.08829926054806438,0.7241379310344828
LTE,262,2,Vodafone,3990,16101,48.13329860110267,11.566137244363377,1911,-82,2025-07-27 10:19:45,True,4G,Germany,Munich City Center,0.44569146468429516,0.5278618731426616,0.12081339712918661,0.10344827586206896
NR,262,2,Vodafone,1135,15583,48.13960389528075,11.582001265534021,883,-72,2025-03-15 07:54:30,True,5G,Germany,Munich City Center,0.46677597972694895,0.5599351848357573,0.009025663331883427,0.4482758620689655
LTE,262,7,O2,1962,37924,48.15405607148435,11.555804084298915,875,-82,2025-10-02 14:54:12,True,4G,Germany,Munich City Center,0.5151031660497266,0.5069706589947999,0.008155719878207917,0.10344827586206896
GSM,262,1,Telekom,2582,26683,48.15869068889997,11.55464456058376,1689,-85,2024-12-14 03:25:53,True,2G,Germany,Munich City Center,0.530601040987341,0.5046263753398778,0.09667246628969117,0.0
UMTS,262,7,O2,2340,23156,48.15808110112793,11.58895321399027,949,-58,2025-10-03 23:23:16,True,3G,Germany,Munich City Center,0.5285626170555553,0.5739903860557459,0.016202696824706393,0.9310344827586207
NR,262,2,Vodafone,4614,24295,48.15271184970249,11.59489405845342,1780,-60,2025-08-27 01:33:28,True,5G,Germany,Munich City Center,0.5106081712755319,0.5860013733166194,0.10656807307525011,0.8620689655172413
LTE,262,2,Vodafone,4089,20059,48.15085093284796,11.586103472533853,877,-73,2025-03-16 23:32:00,True,4G,Germany,Munich City Center,0.5043853800298924,0.5682288805084961,0.008373205741626795,0.41379310344827586
LTE,262,7,O2,3043,12593,48.13094522928949,11.587971218911594,1807,-61,2024-12-05 09:01:13,True,4G,Germany,Munich City Center,0.4378219344142247,0.5720050234606866,0.10950413223140495,0.8275862068965517
LTE,262,2,Vodafone,3527,16178,48.15366862855511,11.597700604252005,1804,-83,2025-07-04 16:33:10,True,4G,Germany,Munich City Center,0.5138075807782109,0.5916755474248537,0.10917790343627665,0.06896551724137931
UMTS,262,7,O2,2068,18399,48.15603519993179,11.555091554535133,930,-77,2025-09-27 23:19:34,True,3G,Germany,Munich City Center,0.5217212495749314,0.5055300917540895,0.014136581122227055,0.27586206896551724
NR,262,2,Vodafone,4598,33198,48.14833410661291,11.590937024094794,1089,-78,2025-02-04 03:27:42,True,5G,Germany,Munich City Center,0.4959692682492231,0.5780011825075357,0.03142670726402784,0.2413793103448276
LTE,262,2,Vodafone,1644,29576,48.13207628518062,11.599017028793785,1271,-68,2025-02-06 23:52:36,True,4G,Germany,Munich City Center,0.4416041155904036,0.5943370475700437,0.05121792083514572,0.5862068965517241
UMTS,262,1,Telekom,3266,39704,48.15241260422102,11.593313038751297,1063,-78,2024-12-02 02:59:29,True,3G,Germany,Munich City Center,0.5096075128324299,0.5828049241216995,0.028599391039582426,0.2413793103448276
UMTS,262,7,O2,3601,22699,48.13912045123343,11.550612891980377,1557,-63,2024-12-26 14:25:30,True,3G,Germany,Munich City Center,0.4651593726345442,0.4964752916790169,0.08231839930404523,0.7586206896551724
LTE,262,7,O2,1377,45198,48.138942821089536,11.593241332188944,1791,-58,2025-08-04 05:50:09,True,4G,Germany,Munich City Center,0.46456538838334016,0.5826599503536951,0.10776424532405393,0.9310344827586207
LTE,262,7,O2,4134,49920,48.14567625571082,11.593905965130386,1872,-62,2025-09-29 21:59:32,True,4G,Germany,Munich City Center,0.48708157867542323,0.584003681508808,0.11657242279251849,0.7931034482758621
LTE,262,2,Vodafone,1949,23818,48.15620256503159,11.55824957833194,1531,-66,2025-02-05 12:51:09,True,4G,Germany,Munich City Center,0.5222809081514637,0.5119148715321598,0.07949108307959983,0.6551724137931034
GSM,262,7,O2,4116,15112,48.13459673296884,11.58809029761539,1180,-83,2025-03-19 18:10:49,True,2G,Germany,Munich City Center,0.45003233762162115,0.5722457725331792,0.04132231404958678,0.06896551724137931
LTE,262,1,Telekom,4256,46234,48.136697138286564,11.578320131711106,914,-73,2024-11-10 05:30:55,True,4G,Germany,Munich City Center,0.457055963524954,0.5524927998807468,0.012396694214876033,0.41379310344827586
LTE,262,2,Vodafone,2348,17033,48.13366596269381,11.556635346975648,1283,-64,2024-12-28 20:02:20,True,4G,Germany,Munich City Center,0.4469198991991155,0.5086512762004202,0.052522836015658984,0.7241379310344828
LTE,262,1,Telekom,2718,21293,48.13974626734455,11.5614459285652,1921,-63,2025-06-29 04:49:24,True,4G,Germany,Munich City Center,0.46725206313178924,0.5183771383312835,0.12190082644628099,0.7586206896551724
LTE,262,2,Vodafone,1773,41134,48.14806212604496,11.578511796200868,1323,-83,2025-07-20 03:45:12,True,4G,Germany,Munich City Center,0.49505978199621375,0.5528803003041582,0.05687255328403654,0.06896551724137931
LTE,262,7,O2,4974,49172,48.13857642285802,11.566149200744013,987,-82,2025-05-28 09:24:52,True,4G,Germany,Munich City Center,0.4633401752837195,0.5278860461262153,0.02033492822966507,0.10344827586206896
UMTS,262,1,Telekom,2047,46042,48.1573064927069,11.589118406430087,1631,-73,2025-06-17 01:40:54,True,3G,Germany,Munich City Center,0.5259723742462566,0.5743243662335727,0.09036537625054371,0.41379310344827586
LTE,262,7,O2,1743,34861,48.13168950168479,11.556740893703228,972,-68,2025-05-01 21:14:54,True,4G,Germany,Munich City Center,0.4403107354235635,0.5088646668064619,0.018703784254023487,0.5862068965517241
GSM,262,7,O2,3343,16922,48.144571952589985,11.586735118362736,1926,-75,2024-12-04 20:35:39,True,2G,Germany,Munich City Center,0.4833888571139438,0.5695059194970011,0.12244454110482819,0.3448275862068966
UMTS,262,7,O2,4201,14119,48.13552108488686,11.59039109264016,1938,-82,2025-01-07 06:15:54,True,3G,Germany,Munich City Center,0.45312331345396656,0.5768974377810777,0.12374945628534145,0.10344827586206896
GSM,262,7,O2,2078,42580,48.1546920415308,11.59929710734699,1187,-83,2025-09-21 11:58:51,True,2G,Germany,Munich City Center,0.5172298106807949,0.5949033003907418,0.04208351457155285,0.06896551724137931
UMTS,262,2,Vodafone,4582,45596,48.13992224562981,11.579230710749707,1849,-82,2025-02-01 13:38:58,True,3G,Germany,Munich City Center,0.4678405236695561,0.5543337760753765,0.1140713353632014,0.10344827586206896
UMTS,262,7,O2,3736,34218,48.150355926027714,11.59821560089186,869,-63,2025-02-21 07:28:14,True,3G,Germany,Munich City Center,0.5027301077376091,0.5927167492470979,0.007503262287951283,0.7586206896551724
UMTS,262,7,O2,2230,24436,48.1477603096621,11.58785739807735,1448,-74,2024-10-19 09:48:38,True,3G,Germany,Munich City Center,0.49405052661733295,0.5717749045611589,0.0704654197477164,0.3793103448275862
GSM,262,7,O2,1759,13471,48.138116533245814,11.575197699152255,1282,-76,2024-10-20 16:48:30,True,2G,Germany,Munich City Center,0.461802332770313,0.5461799771970508,0.052414093083949544,0.3103448275862069
LTE,262,2,Vodafone,3937,33035,48.153324951427926,11.556725391659493,1518,-80,2024-11-20 06:57:59,True,4G,Germany,Munich City Center,0.5126583456508294,0.5088333253278249,0.07807742496737712,0.1724137931034483
NR,262,7,O2,2842,24431,48.14166178084527,11.557000949948618,816,-69,2025-04-10 14:00:47,True,5G,Germany,Munich City Center,0.4736574221966771,0.5093904392399703,0.0017398869073510222,0.5517241379310345
LTE,262,7,O2,3358,26048,48.15276492169787,11.573974320190189,1625,-59,2025-06-08 01:45:59,True,4G,Germany,Munich City Center,0.5107856407564731,0.5437065932834095,0.08971291866028708,0.896551724137931
LTE,262,7,O2,3862,37759,48.15204683231844,11.556986694143681,936,-62,2025-08-30 23:54:18,True,4G,Germany,Munich City Center,0.5083843941381532,0.5093616173624497,0.01478903871248369,0.7931034482758621
LTE,262,7,O2,3181,36817,48.14241259008855,11.58897532621265,1651,-57,2025-08-24 13:25:57,True,4G,Germany,Munich City Center,0.4761680820226871,0.5740350917575979,0.0925402348847325,0.9655172413793104
UMTS,262,1,Telekom,4766,49605,48.1541090947077,11.595554755351268,833,-70,2025-06-07 17:16:23,True,3G,Germany,Munich City Center,0.5152804724400062,0.5873371467193015,0.0035885167464114833,0.5172413793103449
UMTS,262,7,O2,2152,27709,48.130663776726806,11.583536908437164,1193,-73,2025-02-07 08:47:45,True,3G,Germany,Munich City Center,0.4368807743947144,0.5630398928383493,0.04273597216180948,0.41379310344827586
UMTS,262,1,Telekom,4385,46433,48.14464139226808,11.575581837758259,1051,-62,2024-10-11 05:14:44,True,3G,Germany,Munich City Center,0.48362105911688885,0.5469566149177885,0.02729447585906916,0.7931034482758621
LTE,262,2,Vodafone,1364,34583,48.14941222811609,11.594659817991337,1506,-68,2024-12-30 05:07:56,True,4G,Germany,Munich City Center,0.4995744400952459,0.5855277943122352,0.07677250978686385,0.5862068965517241
UMTS,262,2,Vodafone,2461,22930,48.148409447603456,11.575399248193298,1505,-71,2025-09-10 01:27:12,True,3G,Germany,Munich City Center,0.49622120387723423,0.5465874618533852,0.07666376685515441,0.4827586206896552
NR,262,1,Telekom,4368,47403,48.158641922314,11.566148041580886,914,-57,2024-10-20 21:09:05,True,5G,Germany,Munich City Center,0.5304379685300438,0.5278837025715859,0.012396694214876033,0.9655172413793104
UMTS,262,1,Telekom,1048,34561,48.14008847374558,11.585793766152836,1976,-56,2025-03-18 22:48:50,True,3G,Germany,Munich City Center,0.4683963802415737,0.5676027272031733,0.12788168769030014,1.0
